N,Page,ID,Name,Author,Description,Tags,Sensors
38,3,3224421,Ulkoilma Somero,mwa0000040092407,Outside temperature and humidity,"['somero', 'ulkoilma', 'lämpötila', 'kosteus', 'air', 'humidity', 'temperature', 'finland', 'suomi']","temperature, temp, humidity"
39,3,1061276,Hamster Wheel,mwa0000018515788,What is Paddy up to  when we're not watching?,"['hamster', 'raspberry pi']",Unknown
40,3,957670,Bienenwaage Frauenberg,mwa0000017249719,Frauenberg/Brunn,['beelogger'],Unknown
41,3,951795,Medida de Punto de R...,profedetecno,Utiliza los datos ambientales para determinar el punto de rocío.,"['punto de rocío', 'temperatura', 'humedad', 'san vicente', 'profedetecno']",temp
42,3,518150,Data test channel,tthosta,Location: Germany (BW);,['test data'],Unknown
43,3,990603,HEHA Wellhouse 2,mwa0000017463963,"Water usage data, alarm conditions","['heha', 'wellhouse']",water
44,3,3269141,sistmeas embebidos,mwa0000040503148,"En este canal se muestra la temperatura,","['temperatura', 'humedadm sistemas embebidos', 'it cuauta', 'tecnm']",temp
45,3,3269138,Sistemas Embebidos,alfre2alcazar,"En este canal se muestra la tempertaura y la humedad de un DHT22/DHT11, de la materia de sistemas embebidos","['temperatura', 'humedad', 'sistemas embebidos', 'it cuautla', 'tecnm']","temp, dht11, dht22"
46,4,3269139,Sistemas Embebidos,mwa0000017533417,"En este canal se muestra la temperatura y humedad de un DHT22/DHT11, de la materia de sistemas embebidos","['temperatura', 'humedad', 'sistemas embebidos', 'it cuautla', 'tecnm']","temp, dht11, dht22"
47,4,3269140,Sistemas Embebidos,mwa0000040503142,en este canal se muestra la temperatura y la humedad de un DHT11.,"['temperatura', 'humedad', 'sistemas embebidos', 'it cuautla', 'tecnm']","temp, dht11"
48,4,3203205,ArduinoAirMonitor Gd...,mwa0000039919237,Monitor ambientale basato su Arduino,"['arduino', 'airmonitor', 'dht11', 'ambient', 'temperature', 'humidity', 'particle', 'pm10', 'pm1', 'pm25']","temperature, temp, humidity, dht11"
49,4,2502187,Octopus Agile,mwa0000023558498,"Agile (South Scotland) cost in pence.
Uploaded by agile2TS on 201","['agile octopus', 'octopus agile', 'south scotland']",Unknown
50,4,2546321,São Miguel do Oeste ...,mwa0000033418704,"Teste com Esp32;
Voltagem e umidade do solo","['arduino', 'nodemcu', 'temperatura', 'umidade', 'são miguel do oeste', 'sc', 'santa catarina', 'clima', 'weather', 'tempo', 'meteorologia', 'esp32']","temp, voltage"
51,4,3269038,Intelligent Predicti...,mwa0000038269510,"IoT Based ESP32 Robot with QR Maintenance Monitoring, DHT11 Sensor, IR Sensor and Cloud Live Dashboard for Industry 4.0","['esp32', 'robotics', 'iot', 'industry4.0', 'predictive maintenance', 'qr monitoring']",dht11
52,4,53435,Klaipeda1,klaipeda01,"ESP-01.1: 1st floor, outside","['esp8266', 'homes-smart']",Unknown
53,4,386505,BatteryPredict24hours,cjstapels,Deep learning Time series prediction data,"['predict', 'predict battery', 'battery']",Unknown
54,4,460826,GRIN 460826,grin-mpx,BG,['bg'],Unknown
55,4,1632148,EsP DataLog,HaZimOviC,GPS-02,"['esp', 'automation']",gps
56,4,3254668,impoz_meteo,mwa0000038786849,projecto de final de curso dos estudantes do impoz,"['esp32', 'iot', 'weathervou']",Unknown
57,4,1677189,CPAM,mwa0000017972110,CPAM personal aerosol monitor,['pm'],Unknown
58,4,2590882,Estação Meteorológica,Amsatlink,"Estação Meteorológica.
Localizada no bairro Aeroporto na cidade de Itaúna MG.",['uninter; engenharia elétrica; py4roe; itaúna; minas gerais; mg; brasil; brazil'],Unknown
59,4,3089005,IoT Sensors (NARO),alfre2alcazar,"This channel shows Temperature & Humidity, from DHT22 or DHT21 sensors.","['tempertaure', 'humidity', 'iot', 'esp32', 'tecnológico de cuautla']","temperature, temp, humidity, dht22"
60,4,90636,Data Collection Test,cerberus88,"Using Raspberry pi zero w to monitor temperature conditions within a room. Sensor is DHT22, software is python, samples taken every 15 minutes, pi zero sleeps between readings to reduce energy usage. (CBX3)","['raspberry pizero w', 'python.', 'uk realtime', 'data collection test using dht22']","temperature, temp, dht22, energy"
61,5,3237786,Habitat no. 2  / Syn...,mwa0000039736912,"Projekt edukacyjny Fundacji ORLEN im. Ignacego Łukasiewicza ""Inżynierowie Przyszłości"" 
Temat projektu: Kosmiczny habitat – badania naturalnych metod redukcji CO₂ w budynkach użytkowych.
Autor: Weronika Pawłowska;
Mentor: Paweł Derwich;
ZSMEiE Toruń",['#inzynierowieprzyszlosci'],Unknown
62,5,3237788,Habitat no. 3 / Aspl...,mwa0000039736912,"Projekt edukacyjny Fundacji ORLEN im. Ignacego Łukasiewicza ""Inżynierowie Przyszłości"" Temat projektu: Kosmiczny habitat – badania naturalnych metod redukcji CO₂ w budynkach użytkowych. Autor: Weronika Pawłowska; Mentor: Paweł Derwich; ZSMEiE Toruń",['#inzynierowieprzyszlosci'],Unknown
63,5,3245015,Sensor5-CO2,mwa0000040317596,Online Sensor of CO2,"['sensor5-co2', 'temperature']","temperature, temp, co2"
64,5,3264806,Datos de Radiaciòn_Q...,mwa0000038368939,Es el proyecto de loT es de fin de curso,"['lot', 'esp32', 'guva-s12sd', 'arduino']",Unknown
65,5,3090955,Lugard Datalogger,mwa0000038940666,Data logging for weather station,['weather'],Unknown
66,5,3265999,c_cyberphysics_weather,mwa0000040475720,weather station for vt lab,"['temp', 'humidity']","temp, humidity"
67,5,3265969,c_cyberphysics_weather,mwa0000040475718,weather station for vt lab,"['temp', 'humidity']","temp, humidity"
68,5,3265968,c_cyberphysics_weather,mwa0000040475712,weather station for vt lab,['temp.humidity'],"temp, humidity"
69,5,1292004,EDM ROOM,mwa0000018733998,EFICIENCIA EN MAQUINAS,['uptime'],Unknown
70,5,3264998,dillon,mwa0000040415981,job sheet 10,['rr2501p'],Unknown
71,5,3264993,kartina,mwa0000040418123,iot,['rr2501p'],Unknown
72,5,3263935,Meteo Station Dioni-...,mwa0000040460295,"IoT Weather Station with ESP32, DHT22, and BMP280","['esp32', 'weather station', 'pikermi', 'bmp280', 'dht22']","dht22, bmp280"
73,5,3254692,ProyectoFinal2026,mwa0000026599558,Es el proyecto IoT es de fin de curso,"['iot', 'esp32', 'dht-11', 'arduino']",Unknown
74,5,2992741,Sensor1-CO2,mwa0000038005020,Online Sensor of CO2,"['temperature', 'sensor1-co2']","temperature, temp, co2"
75,5,3124868,Sensor2-CO2,mwa0000038005020,Online Sensor of CO2,"['sensor2-co2', 'temperature']","temperature, temp, co2"
76,6,3124899,Sensor3-CO2,mwa0000038005020,Online Sensor of CO2,"['sensor3-co2', 'temperature']","temperature, temp, co2"
77,6,3124907,Sensor4-CO2,mwa0000038005020,Online Sensor of CO2,"['sensor4-co2', 'temperature']","temperature, temp, co2"
78,6,3264573,Proyectofinal2026,mwa0000040465350,es el proyecto de IoT es de fin de curso,"['iot', 'esp32', 'dht-11 arduino']",Unknown
79,6,3254694,ProyectoFinal2026,mwa0000038368911,Es el proyecto de loT es de fin de curso,"['lot', 'esp32', 'dht-11', 'arduino']",Unknown
80,6,3254696,ProyectoFinal2026,mwa0000038368960,Es el proyecto de loT es de fin de curso,"['iot', 'esp32', 'dht-11', 'arduino']",Unknown
81,6,3037047,Proyecto Maestría - ...,mwa0000038369070,Este canal recibirá datos de temperatura y humedad en tiempo real de la ciudad de Tacna,"['iot', 'temperatura', 'humedad', 'tacna', 'dht11', 'esp8266']","temp, dht11"
82,6,265181,MERLIN GARDEN,nfullalove1954,"Outdoor temperature & barometric pressure.  
South Cheshire - England.  
All values updated at 30 minute intervals.",['merlingarden'],"temperature, temp, pressure"
83,6,66609,https://www.belichie.ru,t9619980,Температура,['temp'],temp
84,6,2294115,F30 (25-30),lm6369243,DEMO,['tag'],Unknown
85,6,898450,C7 FL12  Soil moist....,jorolv,Testing soil moisture sensors,['jkl'],"soil, moisture"
86,6,3244898,Air Quality Project,mwa0000040315261,This project is created to measure the Air Quality near Sydney Area for Research.,"['sydney', 'kings rd']",air quality
87,6,3263849,SeniorGuard_Analisis...,Halberch,"Este canal centraliza la inteligencia del sistema SeniorGuard, utilizando algoritmos de MATLAB Analysis para procesar constantes vitales y detectar caídas mediante la fusión de datos de múltiples pacientes.","['iot', 'healthcare', 'matlab', 'seniorguard', 'teleasistencia', 'fall detection', 'smart health', 'triaje.']",Unknown
88,6,3263824,IoT Weather & Gas Mo...,mwa0000034907426,"ESP32-based Weather Station with Toxic Gas Detection using DHT11, MQ2, MQ7","['esp32', 'iot', 'weather station', 'gas detection', 'dht11', 'mq2', 'mq7', 'air quality monitoring']","dht11, gas, mq2, air quality"
89,6,3263293,Proyecto IoT 2mnt Co...,mwa0000040454522,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,"['iot', '60et3', 'ieslafuensanta']","temp, ldr"
90,6,3263298,PROYECTO Iot Sánchez...,mwa0000040454593,RECOGIDA DE DATOS DE LOS SENSORES DE TEMPERATURA,"['iot', '60et3', 'ieslafuensanta']",temp
91,7,3263307,Proyecto IoT Sergio ...,mwa0000040454675,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 mini,"['iot', '60/3_ieslafuensanta']","temp, ldr"
92,7,3263297,proyecto IOT 2 mnt  ...,mwa0000040454561,recogida de datos de sensores ldr con wemos d1 mini,"['iot', '60et3 ieslafuensanta']",ldr
93,7,3263303,Proyecto Iot 2mnt Dí...,mwa0000040454539,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,"['iot', '60et3', 'ieslafuensanta']","temp, ldr"
94,7,3263302,Proyecto IoT 2mnt Pe...,mwa0000040454602,Recogida de datos sensores de proyecto IoT,['ies la fuensanta iot 60et3'],Unknown
95,7,3263295,Proyecto Iot 2 mante...,mwa0000040454535,recogida de datos de ldr y sensor de temperatura con wemos d1,"['iot', '60et3', 'ieslafuensanta']","temp, ldr"
96,7,3263292,Proyecto IoT 2ºMNT_G...,mwa0000040454526,Recogida de datos de los sensores de temperatura y LDR con Wemos D1 Mini,"['iot', '60 et3', 'ies la fuensanta']","temp, ldr"
97,7,3263294,Proyecto IOT 2ºMante...,mwa0000040454524,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini,"['iot', '60/3_ieslafuensanta']","temp, ldr"
98,7,3263296,Proyecto IoT 2mnt ló...,mwa0000040454570,Recogida de datos de los sensores de temperatura y LDR con wemos D1 mini.,"['iot', '60et3', 'ieslafuensanta']","temp, ldr"
99,7,284201,Proyecto IoT 2mnt ap...,malonsorosa,RECOGIDA DE DATOS DE LOS SENSORES DE temperatura y LDR con wemosD1 mini,"['iot', '60et3', 'ieslafuensanta']","temp, ldr"
100,7,3237209,RFID Door Access Demo,mwa0000039765402,"Customized access levels allow only authorized employees to enter sensitive areas, improving security and workflow efficiency, while still offering faster and more convenient access without requiring extensive development or integration, making it a balan","['rfid', 'door access', 'arduino', 'security', 'demo']",rfid
101,7,3262504,KONTROL DAN MONITORI...,mwa0000037629377,"Sistem pengatur otomatis kipas angin berbasis ESP32 menggunakan metode Fuzzy Mamdani untuk pengambilan keputusan ON/OFF berdasarkan suhu dan aktivitas jamaah, serta monitoring data secara real-time melalui ThingSpeak.","['iot', 'esp32', 'fuzzy mamdani']",Unknown
102,7,3254360,WiFi GRR,mwa0000040260273,USE THE WIFI,['give me wifi'],Unknown
103,7,1027437,Heating and Hot Water,mwa0000017972110,Relative humidity and temperature,"['humidity', 'temperature', 'wabtub']","temperature, temp, humidity"
104,7,3243713,Great Projects,mwa0000040303019,часы Great Projects,"['temperature', 'humidity', 'quality']","temperature, temp, humidity"
105,7,2462989,Energy Production us...,mwa0000030577815,This Channel has been created by three Engineering Students from UCSI University in order to complete the Assignment for the Course of Data Communication & Networks under the supervision of Dr Chow Li Sze.,[],Unknown
106,8,568170,POULAILLE MASSI,pinkfloydnow60,store data of temperature and humidity,[],"temperature, temp, humidity"
107,8,1838276,Heltec CubeCells Bat...,andtit,Heltec Solar CubCell Lora readings,[],Unknown
108,8,3107947,tampilan parameter k...,mwa0000039078521,Monitoring Parameter kimia (Tds) Amdk Le mineral berbasis Esp32 (Fadlan),[],Unknown
109,8,2332667,Sensor de Gás NO2,mwa0000031950936,Teste de leitura do sensor de gás Presense.,[],Unknown
110,8,3266077,iot project,mwa0000040477290,iot,[],Unknown
111,8,3258138,under water communic...,mwa0000033209378,hhh,[],Unknown
112,8,3229434,Flood monitor in City A,mwa0000040148415,City A: Flood status,[],Unknown
113,8,3221689,HiRES,mwa0000040064823,HYBRID RENEWABLE ENERGIES APP,[],Unknown
114,8,1122872,J Mittaukset,mwa0000017265688,J Mittaukset,[],Unknown
115,8,1921157,J IV,mwa0000026842781,J IV,[],Unknown
116,8,1668300,Data collection from...,mwa0000020571351,"All data is from the channel: 333831
Based on the data collected, we are here to represent the total cost that saved when solar panel is installed.",[],Unknown
117,8,1022696,Raspi Temp Usage,mwa0000017790175,,"['sgm', 'raspi']",Unknown
118,8,1457159,Control Raspberry LU...,mwa0000022777178,Control valores RPI y conexión a Internet de la repetidora LU3HGB-R YSF/C4FM,[],Unknown
119,8,2665628,Node 1,mwa0000025664343,,"['temperature', 'moisture', 'voltage']","temperature, temp, moisture, voltage"
120,8,900128,Dew Point Test,mgmgthwin2012,Dew Point Measurement,[],Unknown
121,9,582158,Lämpötilat,vesala59,,['tmp_out;tmp_kt;tmp_oh; hum_kt;hum_oh;tmp_mh;tmp_pakastin;tmp_kh'],Unknown
122,9,915251,Dew point exercise,phyophyo22,"Temp,Hum & Dew point",[],temp
123,9,1380991,Dew Point Measurement,mwa0000022436917,Dew Point Measurement,[],Unknown
124,9,689516,AIRQO-WB13 UNIT ACTIVE,airqodata02,AirQo Gen6 Steel and Tube Industries boiler area,[],Unknown
125,9,2436896,Node 1 by code,mwa0000033025422,"Temperature, soil moisture, analog voltage",[],"temperature, temp, soil, moisture, voltage"
126,9,2855668,Keller,mwa0000032045415,Melsdorf Keller,[],Unknown
127,9,1265300,Praktikum PBS Modul 10,mwa0000020659693,Putri Shalsabilla Azzahra - 6706184038,[],Unknown
128,9,1158576,Dew Point Measurement,mwa0000019696233,Matlab Analysis,[],Unknown
129,9,1361942,Lämpötilat ulkona ja...,tidenberg,Lämpötilat ulkona ja kasvihuoneessa,[],Unknown
130,9,1259177,Dew Point Measurement,mwa0000020630254,MATLAB Analysis,[],Unknown
131,9,1247015,Dew Point Measurement,mwa0000020513255,Matlab Analysis,[],Unknown
132,9,1259278,Dew Point Measurement,mwa0000020630219,Metlab Analysis,[],Unknown
133,9,1317609,Dew POINT MEASUREMENT,mwa0000021712522,Matlab Analysis,[],Unknown
134,9,2884892,Dew Point Measurement,mwa0000037269523,Matlab Analysis,[],Unknown
135,9,677768,Lämmöt ja kosteus,vmakela,,"['cozify', 'automation', 'temperature', 'finland']","temperature, temp"
136,10,1669723,Air Quality (Germany),mwa0000025842364,D&C Assignment,[],Unknown
137,10,1351544,AIRQO-G511 UNIT ACTIVE,airqodata02,"AirQo Gen5 Device Operations office, Pramukh Jinja",[],Unknown
138,10,1281995,Dew Point Measurement,mwa0000020854122,Matlab Analysis,[],Unknown
139,10,1380983,Dew Point Measurement,mwa0000022436905,Calculate Dew Point based on data from US weather station,[],Unknown
140,10,1293588,Cozify-lämpö/kosteus...,mwa0000021374466,"Nexa + Telldus, Thermo/Hygrometer @ Klaukkala",[],Unknown
141,10,2435130,Weather Prediction,mwa0000033010775,Data Analyzing,[],Unknown
142,10,1393630,ALFRED 18BEE0154,alfron,To measure dew point,[],Unknown
143,10,1290706,B6230791 - Dew Point...,mwa0000020436300,วัดค่าอุณหภูมิจุดน้ำค้าง,[],Unknown
144,10,2593998,Sensor-Based Automat...,mwa0000033105018,"Supervisor for Robotics 2 
Computer Engineering assigned Project",[],Unknown
145,10,1204833,Dew Point Meaasurement,mwa0000020110814,Matlab Analysis,[],Unknown
146,10,2479801,node 2,mwa0000033446312,"humidity,and light intensity",[],"humidity, light"
147,10,1388484,PruebaBeto,lauraorona98,Esto es una prueba,[],Unknown
148,10,561349,Attic immersion,nostrebor,domestic hot water,[],water
149,10,1448907,ESP32_TTGO_SCD40_01,mwa0000020835873,,"['esp32', 'ds3231', 'scd40']",Unknown
150,10,1282007,Dew Point Measurement,mwa0000020853996,Matlab Analysis,[],Unknown
151,11,1282007,Dew Point Measurement,mwa0000020853996,Matlab Analysis,[],Unknown
152,11,1281997,Dew Point Measurement,mwa0000020854156,Matlab Analysis,[],Unknown
153,11,2401929,ESP32_TTGO_SCD40_03,mwa0000020835873,,"['esp32', 'scd40']",Unknown
154,11,2884894,Dew Point Measurement,mwa0000037269515,Matlab analysis,[],Unknown
155,11,2857192,backup,mwa0000024257841,Data communication assignment,[],Unknown
156,11,883876,Lämpötilat,laaaseri,Cozify dataa,[],Unknown
157,11,1276966,Ulkoilman lämpötila,jarskim,Ulkoilman lämpötila etuportaalla,[],Unknown
158,11,914978,Dew point measurement,phyophyo22,Dew point test,[],Unknown
159,11,1651884,AirQo_G558,airqodata02,Airqo Gen5 Device,[],Unknown
160,11,2963719,airqo_g5505,airqodata02,"Bukasa Kira, Wakiso",[],Unknown
161,11,1358286,Dew Point Measurement,mwa0000020318283,First test of making a new channel,[],Unknown
162,11,1375491,AIRQO-G523 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
163,11,577136,Hämäläistentie lämmöt,toroti,Lämpötilat,[],Unknown
164,11,1285636,Dew point measurement,mwa0000021013650,Matlab Analysis,[],Unknown
165,11,1281980,Dew Point Measurement,mwa0000020853930,Matlab Analysis,[],Unknown
166,12,1003800,Dew Point Measurement,mwa0000017654337,Coming from Matlab head quarters,[],Unknown
167,12,1297689,Dew Point Measurement,mwa0000021428122,Matlab analysi,[],Unknown
168,12,746951,Weather Monitoring,softayoub,This IoT application will receive the data from external  device which has below parameters.,[],Unknown
169,12,1486060,Dew Point Measurement,mwa0000023603866,Matlab Analysis,[],Unknown
170,12,1379966,AIRQO-G533 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
171,12,1247016,Dew Point Measurement,mwa0000020513312,Matlab Analysis,[],Unknown
172,12,1780725,Lepola,mwa0000026842781,Lepola,[],Unknown
173,12,3097793,Test - Mesure du poi...,projetcpas,Ceci est un test dans l'optique de prendre en main Thingspeak et  d'émettre un test de faisabilité,[],Unknown
174,12,2434686,Weather Prediction,mwa0000032997204,analyzing the weather data,[],Unknown
175,12,2073499,Imu,mwa0000027677178,sensor updates,[],Unknown
176,12,2874767,airqo_g5438,airqodata02,"st.ponsiano primary school, Salama road",[],Unknown
177,12,2087733,AirQo-G5177,airqodata02,St.dominic Bukna Sec. School,[],Unknown
178,12,1324552,Prueba1,mwa0000021820998,prueba de IOT,[],Unknown
179,12,641872,M6113506 - Dew Point...,nondevtech,Dew Point from weather station,[],Unknown
180,12,215043,Cozify,prunonen,This  is  for testing,[],Unknown
181,13,1324552,Prueba1,mwa0000021820998,prueba de IOT,[],Unknown
182,13,641872,M6113506 - Dew Point...,nondevtech,Dew Point from weather station,[],Unknown
183,13,215043,Cozify,prunonen,This  is  for testing,[],Unknown
184,13,1158575,Dew Point Measurement,mwa0000019696166,Matlab Analysis,[],Unknown
185,13,1282019,Dew Point Measurement,mwa0000020854333,Matlab Analysis,[],Unknown
186,13,1380982,Dew Point Measurement,mwa0000022436900,tra lala,[],Unknown
187,13,1281990,Dew Point Measurement,mwa0000020853974,Matlab Analysis,[],Unknown
188,13,1668194,Analytical Data (Off...,mwa0000023410537,"Data Communication assignment - IoT Analytic Project (DK, HY, William)",[],Unknown
189,13,1247010,Dew Point Measurement,mwa0000020513281,Matlab analysis,[],Unknown
190,13,796638,Dew Point Measuremen...,choongck,US weather station 12397,[],Unknown
191,13,1816655,IoT Dashboard,mwa0000019974469,Reading from BME680,[],Unknown
192,13,1291216,Sam's wearable,sp38126,Matlab Analysis,[],Unknown
193,13,1158574,Dew Point Measurement,mwa0000019696128,Matlab Analysis,[],Unknown
194,13,1003913,"Humidity, Temp, Dew ...",mwa0000016265977,"previously named ThursdayFeb27

using channel 12397",[],Unknown
195,13,2417538,Dew Point Measurement,andresprat,Collect Data and Analyze,[],Unknown
196,14,2417538,Dew Point Measurement,andresprat,Collect Data and Analyze,[],Unknown
197,14,1259171,Station 01,mwa0000020558199,Matlab Analysis,[],Unknown
198,14,3236378,Storrady PM,mwa0000040228909,Air particulate matter levels in Storrady Office,[],Unknown
199,14,1104690,weather channel,mwa0000019062753,WEATHER PARAMETER ANALYSIS,[],Unknown
200,14,2434652,Weather Management,mwa0000033008465,Analysing data,[],Unknown
201,14,1035718,John Fernihough Week...,mwa0000017654309,"C19374606
Week 5/6/7
Temperature Conversion and avg. Humidity are on seperate channels",[],"temperature, temp, humidity"
202,14,3269717,Viknesh S,mwa0000040506138,IoT Project,[],Unknown
203,14,828406,Torppafy,lastu72,Cozify channel for temperatures of home,[],"temperature, temp"
204,14,2084590,AirQo-G5159,airqodata02,Air quality monitor for Migosi primary school,[],air quality
205,14,3269803,Sahil Mudgil,mwa0000040507191,Streaming Sensor Data,[],Unknown
206,14,832254,AIRQO-54 UNIT ACTIVE,airqodata02,Unit with Dual pms5003 sensors Kawempe.,[],Unknown
